⚠ `eslint` configuration in next.config.ts is no longer supported. See more info here: https://nextjs.org/docs/app/api-reference/cli/next#next-lint-options
⚠ Invalid next.config.ts options detected: 
⚠     Unrecognized key(s) in object: 'eslint'
⚠ See more info here: https://nextjs.org/docs/messages/invalid-next-config
▲ Next.js 16.1.3 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://21.0.9.216:3000
- Environments: .env

✓ Starting...
✓ Ready in 858ms
 GET /api/telegram/activity?limit=30 200 in 11ms (compile: 8ms, render: 3ms)
 GET /api/jobs/summary?hours=24 200 in 11ms (compile: 7ms, render: 3ms)
 GET /api/applications 200 in 15ms (compile: 12ms, render: 3ms)
 GET /api/profile 200 in 18ms (compile: 16ms, render: 3ms)
 GET /api/automation/rules 200 in 7ms (compile: 4ms, render: 3ms)
 GET /api/crm/stats 200 in 12ms (compile: 9ms, render: 3ms)
 GET /api/bot/data 200 in 11ms (compile: 8ms, render: 3ms)
 GET /api/telegram/stats 200 in 15ms (compile: 12ms, render: 3ms)
 GET /api/telegram/users 200 in 50ms (compile: 47ms, render: 3ms)
 GET /api/telegram/activity?limit=30 200 in 12ms (compile: 9ms, render: 3ms)
 GET /api/applications 200 in 10ms (compile: 8ms, render: 3ms)
 GET /api/jobs/summary?hours=24 200 in 10ms (compile: 8ms, render: 2ms)
 GET /api/profile 200 in 14ms (compile: 11ms, render: 3ms)
 GET /api/automation/rules 200 in 14ms (compile: 12ms, render: 3ms)
 GET /api/crm/stats 200 in 18ms (compile: 15ms, render: 2ms)
 GET /api/bot/data 200 in 13ms (compile: 11ms, render: 2ms)
 GET /api/telegram/stats 200 in 9ms (compile: 6ms, render: 2ms)
 GET /api/telegram/users 200 in 8ms (compile: 6ms, render: 3ms)
 GET /api/telegram/activity?limit=30 200 in 13ms (compile: 9ms, render: 3ms)
 GET /api/applications 200 in 13ms (compile: 10ms, render: 2ms)
 GET /api/jobs/summary?hours=24 200 in 16ms (compile: 14ms, render: 3ms)
 GET /api/profile 200 in 6ms (compile: 3ms, render: 3ms)
 GET /api/automation/rules 200 in 10ms (compile: 7ms, render: 3ms)
 GET /api/crm/stats 200 in 13ms (compile: 11ms, render: 2ms)
 GET /api/bot/data 200 in 17ms (compile: 14ms, render: 2ms)
 GET /api/telegram/stats 200 in 9ms (compile: 7ms, render: 2ms)
 GET /api/applications 200 in 10ms (compile: 7ms, render: 3ms)
 GET /api/telegram/users 200 in 10ms (compile: 7ms, render: 3ms)
 GET /api/telegram/activity?limit=30 200 in 12ms (compile: 10ms, render: 3ms)
 GET /api/jobs/summary?hours=24 200 in 6ms (compile: 2ms, render: 3ms)
 GET /api/profile 200 in 9ms (compile: 7ms, render: 2ms)
 GET /api/automation/rules 200 in 5ms (compile: 2ms, render: 2ms)
 GET /api/crm/stats 200 in 8ms (compile: 5ms, render: 3ms)
 GET /api/applications 200 in 10ms (compile: 8ms, render: 2ms)
 GET /api/bot/data 200 in 6ms (compile: 3ms, render: 3ms)
 GET /api/telegram/stats 200 in 8ms (compile: 6ms, render: 2ms)
 GET /api/telegram/users 200 in 8ms (compile: 6ms, render: 2ms)
 GET /api/telegram/activity?limit=30 200 in 11ms (compile: 8ms, render: 2ms)
 GET /api/profile 200 in 14ms (compile: 11ms, render: 3ms)
 GET /api/jobs/summary?hours=24 200 in 15ms (compile: 12ms, render: 2ms)
 GET /api/crm/stats 200 in 6ms (compile: 3ms, render: 3ms)
 GET /api/automation/rules 200 in 9ms (compile: 7ms, render: 2ms)
 GET /api/applications 200 in 12ms (compile: 10ms, render: 2ms)
 GET /api/telegram/users 200 in 15ms (compile: 13ms, render: 2ms)
 GET /api/profile 200 in 6ms (compile: 3ms, render: 2ms)
 GET /api/bot/data 200 in 9ms (compile: 6ms, render: 3ms)
 GET /api/telegram/stats 200 in 10ms (compile: 7ms, render: 2ms)
 GET /api/telegram/activity?limit=30 200 in 13ms (compile: 10ms, render: 3ms)
 GET /api/jobs/summary?hours=24 200 in 12ms (compile: 10ms, render: 2ms)
 GET /api/crm/stats 200 in 9ms (compile: 6ms, render: 3ms)
 GET /api/automation/rules 200 in 9ms (compile: 6ms, render: 3ms)
 GET /api/applications 200 in 9ms (compile: 6ms, render: 3ms)
 GET /api/profile 200 in 8ms (compile: 6ms, render: 3ms)
 GET /api/telegram/activity?limit=30 200 in 9ms (compile: 6ms, render: 3ms)
 GET /api/bot/data 200 in 5ms (compile: 3ms, render: 2ms)
 GET /api/telegram/stats 200 in 8ms (compile: 6ms, render: 2ms)
 GET /api/telegram/users 200 in 12ms (compile: 9ms, render: 3ms)
 GET /api/automation/rules 200 in 7ms (compile: 3ms, render: 4ms)
 GET /api/jobs/summary?hours=24 200 in 11ms (compile: 8ms, render: 2ms)
 GET /api/crm/stats 200 in 11ms (compile: 8ms, render: 3ms)
 GET /api/applications 200 in 15ms (compile: 12ms, render: 3ms)
 GET /api/profile 200 in 20ms (compile: 16ms, render: 3ms)
 GET /api/bot/data 200 in 10ms (compile: 7ms, render: 3ms)
 GET /api/telegram/stats 200 in 11ms (compile: 7ms, render: 3ms)
 GET /api/automation/rules 200 in 10ms (compile: 7ms, render: 2ms)
 GET /api/jobs/summary?hours=24 200 in 13ms (compile: 10ms, render: 3ms)
 GET /api/telegram/users 200 in 12ms (compile: 9ms, render: 3ms)
 GET /api/telegram/activity?limit=30 200 in 10ms (compile: 7ms, render: 3ms)
 GET /api/crm/stats 200 in 9ms (compile: 7ms, render: 2ms)
 GET /api/applications 200 in 8ms (compile: 6ms, render: 3ms)
 GET /api/profile 200 in 11ms (compile: 9ms, render: 3ms)
 GET /api/automation/rules 200 in 6ms (compile: 4ms, render: 3ms)
 GET /api/bot/data 200 in 9ms (compile: 7ms, render: 3ms)
 GET /api/telegram/stats 200 in 12ms (compile: 10ms, render: 2ms)
 GET /api/telegram/users 200 in 8ms (compile: 5ms, render: 2ms)
 GET /api/crm/stats 200 in 11ms (compile: 8ms, render: 3ms)
 GET /api/telegram/activity?limit=30 200 in 6ms (compile: 3ms, render: 3ms)
 GET /api/jobs/summary?hours=24 200 in 8ms (compile: 6ms, render: 2ms)
 GET /api/applications 200 in 12ms (compile: 9ms, render: 2ms)
 GET /api/profile 200 in 12ms (compile: 9ms, render: 3ms)
 GET /api/automation/rules 200 in 9ms (compile: 7ms, render: 2ms)
 GET /api/bot/data 200 in 8ms (compile: 6ms, render: 2ms)
 GET /api/telegram/stats 200 in 8ms (compile: 6ms, render: 2ms)
 GET /api/telegram/users 200 in 9ms (compile: 7ms, render: 2ms)
 GET /api/telegram/activity?limit=30 200 in 12ms (compile: 10ms, render: 2ms)
 GET /api/jobs/summary?hours=24 200 in 12ms (compile: 9ms, render: 2ms)
 GET /api/crm/stats 200 in 8ms (compile: 5ms, render: 2ms)
 GET /api/applications 200 in 5ms (compile: 3ms, render: 3ms)
 GET /api/profile 200 in 9ms (compile: 6ms, render: 3ms)
 GET /api/automation/rules 200 in 12ms (compile: 9ms, render: 3ms)
 GET /api/bot/data 200 in 6ms (compile: 3ms, render: 3ms)
 GET /api/telegram/stats 200 in 11ms (compile: 8ms, render: 3ms)
 GET /api/telegram/users 200 in 11ms (compile: 8ms, render: 2ms)
 GET /api/telegram/activity?limit=30 200 in 14ms (compile: 11ms, render: 3ms)
 GET /api/jobs/summary?hours=24 200 in 12ms (compile: 9ms, render: 2ms)
 GET /api/applications 200 in 16ms (compile: 12ms, render: 3ms)
 GET /api/crm/stats 200 in 6ms (compile: 3ms, render: 2ms)
 GET /api/profile 200 in 8ms (compile: 6ms, render: 2ms)
 GET /api/automation/rules 200 in 12ms (compile: 9ms, render: 3ms)
 GET /api/bot/data 200 in 5ms (compile: 1795µs, render: 3ms)
 GET /api/telegram/stats 200 in 5ms (compile: 3ms, render: 2ms)
 GET /api/telegram/users 200 in 8ms (compile: 4ms, render: 3ms)
 GET /api/telegram/activity?limit=30 200 in 11ms (compile: 8ms, render: 3ms)
 GET /api/crm/stats 200 in 15ms (compile: 12ms, render: 3ms)
 GET /api/jobs/summary?hours=24 200 in 19ms (compile: 16ms, render: 3ms)
 GET /api/applications 200 in 23ms (compile: 20ms, render: 3ms)
 GET /api/profile 200 in 8ms (compile: 5ms, render: 3ms)
 GET /api/automation/rules 200 in 11ms (compile: 8ms, render: 3ms)
